Order_ID,Date,City,Category,Units_Sold,Payment_Method,Customer_Rating,Unit_Price,Discount,Sales
ORD1025,2025-02-06 07:15:37.815126050,Delhi,Books,2,Net Banking,4.2,686,0.23,1056.44
ORD1026,2025-02-07 19:33:46.890756302,Noida,Books,2,Card,4.3,570,0.04,1094.4
ORD1027,2025-02-09 07:51:55.966386554,Noida,Books,6,Cash,3.7,573,0.14,2956.68
ORD1028,2025-02-10 20:10:05.042016806,Meerut,Grocery,3,Cash,4.5,821,0.11,2192.07
ORD1029,2025-02-12 08:28:14.117647058,Ghaziabad,Clothing,9,Cash,4.3,1678,0.25,11326.5
ORD1030,2025-02-13 20:46:23.193277310,Ghaziabad,Books,4,Net Banking,3.6,409,0.05,1554.2
ORD1031,2025-02-15 09:04:32.268907563,Noida,Electronics,1,Net Banking,3.0,4356,0.11,3876.84
ORD1032,2025-02-16 21:22:41.344537815,Ghaziabad,Electronics,4,Net Banking,3.3,7661,0.24,23289.44
ORD1033,2025-02-18 09:40:50.420168067,Ghaziabad,Electronics,1,UPI,3.6,7047,0.22,5496.66
ORD1034,2025-02-19 21:58:59.495798319,Delhi,Electronics,5,Card,4.6,7429,0.21,29344.55
ORD1035,2025-02-21 10:17:08.571428571,Noida,Grocery,4,,4.9,519,0.08,1909.92
ORD1036,2025-02-22 22:35:17.647058823,Gurugram,Electronics,8,Card,3.8,4845,0.06,36434.4
ORD1037,2025-02-24 10:53:26.722689075,Noida,Books,8,Card,3.8,363,0.17,2410.32
ORD1038,2025-02-25 23:11:35.798319327,Gurugram,Beauty,7,Cash,4.1,806,0.23,4344.34
ORD1039,2025-02-27 11:29:44.873949580,Delhi,Electronics,3,UPI,4.0,6909,0.15,17617.95
ORD1040,2025-02-28 23:47:53.949579832,Meerut,Grocery,1,Net Banking,4.5,601,0.15,510.85
ORD1041,2025-03-02 12:06:03.025210084,Ghaziabad,Grocery,1,Cash,3.7,622,0.08,572.24
ORD1042,2025-03-04 00:24:12.100840336,Delhi,Electronics,3,Cash,4.5,8339,0.2,20013.6
ORD1043,2025-03-05 12:42:21.176470588,Ghaziabad,Beauty,6,Net Banking,3.9,804,0.06,4534.56
ORD1044,2025-03-07 01:00:30.252100840,Meerut,Electronics,7,Card,4.5,6564,0.09,41812.68
ORD1045,2025-03-08 13:18:39.327731092,Meerut,Grocery,6,Cash,3.9,779,0.12,4113.12
ORD1046,2025-03-10 01:36:48.403361344,Delhi,Clothing,6,Card,3.7,1670,0.14,8617.2
ORD1047,2025-03-11 13:54:57.478991596,Meerut,Books,6,UPI,5.0,597,0.08,3295.44
ORD1048,2025-03-13 02:13:06.554621848,Gurugram,Grocery,3,Card,4.6,815,0.05,2322.75
ORD1049,2025-03-14 14:31:15.630252100,Meerut,Electronics,6,UPI,3.0,8545,0.16,43066.8
ORD1050,2025-03-16 02:49:24.705882353,Ghaziabad,Books,8,Card,3.8,414,0.09,3013.92
ORD1051,2025-03-17 15:07:33.781512605,Ghaziabad,Electronics,2,Cash,4.7,8441,0.15,14349.7
ORD1052,2025-03-19 03:25:42.857142857,Ghaziabad,Electronics,5,Cash,3.3,6464,0.06,30380.8
ORD1053,2025-03-20 15:43:51.932773109,Ghaziabad,Clothing,1,UPI,4.4,1495,0.13,1300.65
ORD1054,2025-03-22 04:02:01.008403361,Gurugram,Books,1,Net Banking,4.4,534,0.14,459.24
ORD1055,2025-03-23 16:20:10.084033613,Noida,Books,5,UPI,3.6,735,0.03,3564.75
ORD1056,2025-03-25 04:38:19.159663865,Delhi,Clothing,3,UPI,4.0,1791,0.1,4835.7
ORD1057,2025-03-26 16:56:28.235294117,Ghaziabad,Grocery,4,Card,,572,0.05,2173.6
ORD1058,2025-03-28 05:14:37.310924369,Meerut,Electronics,3,Card,5.0,7107,0.03,20681.37
ORD1059,2025-03-29 17:32:46.386554621,Ghaziabad,Beauty,1,UPI,3.8,736,0.25,552.0
ORD1060,2025-03-31 05:50:55.462184874,Meerut,Electronics,1,Cash,4.4,4570,0.09,4158.7
ORD1061,2025-04-01 18:09:04.537815126,Meerut,Electronics,5,Card,4.3,4811,0.21,19003.45
ORD1062,2025-04-03 06:27:13.613445378,Ghaziabad,Grocery,6,Net Banking,4.7,481,0.08,2655.12
ORD1063,2025-04-04 18:45:22.689075630,Gurugram,Electronics,3,Card,3.8,4916,0.18,12093.36
ORD1064,2025-04-06 07:03:31.764705882,Meerut,Clothing,9,Card,4.1,1345,0.19,9805.05
ORD1065,2025-04-07 19:21:40.840336134,Meerut,Clothing,5,Net Banking,4.3,1978,0.16,8307.6
ORD1066,2025-04-09 07:39:49.915966386,Ghaziabad,Books,8,UPI,4.5,428,0.13,2978.88
ORD1067,2025-04-10 19:57:58.991596638,Meerut,Beauty,1,Net Banking,4.6,803,0.11,714.67
ORD1068,2025-04-12 08:16:08.067226890,Meerut,Electronics,5,UPI,3.7,8305,0.1,37372.5
ORD1069,2025-04-13 20:34:17.142857142,Ghaziabad,Electronics,3,UPI,3.6,6382,0.23,14742.42
ORD1070,2025-04-15 08:52:26.218487394,Ghaziabad,Grocery,1,UPI,4.7,726,0.21,573.54
ORD1071,2025-04-16 21:10:35.294117646,Delhi,Clothing,4,Net Banking,2.9,1387,0.24,4216.48
ORD1072,2025-04-18 09:28:44.369747898,Gurugram,Beauty,5,UPI,4.9,706,0.05,3353.5
ORD1073,2025-04-19 21:46:53.445378150,Gurugram,Books,7,Cash,3.8,373,0.19,2114.91
ORD1074,2025-04-21 10:05:02.521008402,Meerut,Clothing,1,Net Banking,4.0,1383,0.24,1051.08
ORD1075,2025-04-22 22:23:11.596638654,Gurugram,Books,3,Cash,3.6,465,0.06,1311.3
ORD1076,2025-04-24 10:41:20.672268908,Meerut,Grocery,2,UPI,4.0,503,0.04,965.76
ORD1077,2025-04-25 22:59:29.747899160,Delhi,Grocery,9,Card,4.7,463,0.19,3375.27
ORD1078,2025-04-27 11:17:38.823529412,Ghaziabad,Electronics,10,UPI,4.4,4774,0.15,142026.5
ORD1079,2025-04-28 23:35:47.899159664,Ghaziabad,Beauty,6,Cash,4.3,875,0.21,4147.5
ORD1080,2025-04-30 11:53:56.974789916,Ghaziabad,Books,10,Cash,4.0,437,0.05,4151.5
ORD1081,2025-05-02 00:12:06.050420168,Gurugram,Clothing,3,Net Banking,3.2,1629,0.2,3909.6
ORD1082,2025-05-03 12:30:15.126050420,Delhi,Grocery,8,Card,3.5,652,0.07,4850.88
ORD1083,2025-05-05 00:48:24.201680672,Gurugram,Electronics,8,Net Banking,3.8,7366,0.06,55392.32
ORD1084,2025-05-06 13:06:33.277310924,Gurugram,Electronics,2,Cash,4.3,4404,0.06,8279.52
ORD1085,2025-05-08 01:24:42.352941176,Delhi,Books,6,UPI,4.0,665,0.21,3152.1
ORD1086,2025-05-09 13:42:51.428571428,Delhi,Grocery,7,Card,4.5,708,0.17,4113.48
ORD1087,2025-05-11 02:01:00.504201680,Delhi,Beauty,2,UPI,4.3,637,0.14,1095.64
ORD1088,2025-05-12 14:19:09.579831932,Delhi,Grocery,10,UPI,4.0,820,0.1,7380.0
ORD1089,2025-05-14 02:37:18.655462184,Ghaziabad,Books,2,Card,5.0,712,0.22,1110.72
ORD1090,2025-05-15 14:55:27.731092436,Noida,Books,10,Net Banking,4.2,381,0.11,3390.9
ORD1091,2025-05-17 03:13:36.806722688,Noida,Grocery,1,UPI,3.8,548,0.21,432.92
ORD1092,2025-05-18 15:31:45.882352940,Delhi,Books,8,Cash,5.0,668,0.12,4702.72
ORD1093,2025-05-20 03:49:54.957983192,Noida,Grocery,1,UPI,4.7,763,0.11,679.07
ORD1094,2025-05-21 16:08:04.033613444,Noida,Clothing,9,Card,5.0,1402,0.13,10977.66
ORD1095,2025-05-23 04:26:13.109243696,Delhi,Grocery,6,Card,3.9,518,0.09,2828.28
ORD1096,2025-05-24 16:44:22.184873948,Noida,Grocery,7,Card,4.5,591,0.19,3350.97
ORD1097,2025-05-26 05:02:31.260504200,Gurugram,Books,10,Net Banking,3.2,544,0.14,4678.4
ORD1098,2025-05-27 17:20:40.336134454,Meerut,Books,7,UPI,4.4,596,0.07,3879.96
ORD1099,2025-05-29 05:38:49.411764706,Meerut,Electronics,10,Net Banking,3.9,5904,0.23,45460.8
ORD1100,2025-05-30 17:56:58.487394958,Delhi,Electronics,3,Net Banking,3.3,6330,0.11,16901.1
ORD1101,2025-06-01 06:15:07.563025210,Ghaziabad,Clothing,2,Card,4.6,2112,0.15,3590.4
ORD1102,2025-06-02 18:33:16.638655462,Delhi,Electronics,9,Card,3.0,4392,0.23,30436.56
ORD1103,2025-06-04 06:51:25.714285714,Ghaziabad,Grocery,8,Net Banking,2.9,537,0.16,3608.64
ORD1104,2025-06-05 19:09:34.789915966,Meerut,Books,10,UPI,4.2,632,0.05,6004.0
ORD1105,2025-06-07 07:27:43.865546218,Delhi,Electronics,7,Cash,4.3,8298,0.24,44145.36
ORD1106,2025-06-08 19:45:52.941176470,Gurugram,Electronics,9,Net Banking,4.5,6553,0.16,222933.06
ORD1107,2025-06-10 08:04:02.016806722,Noida,Clothing,4,UPI,4.4,1840,0.1,6624.0
ORD1108,2025-06-11 20:22:11.092436974,Ghaziabad,Clothing,4,Card,4.8,1305,0.05,4959.0
ORD1109,2025-06-13 08:40:20.168067226,Noida,Grocery,1,Card,4.4,626,0.2,500.8
ORD1110,2025-06-14 20:58:29.243697478,Noida,Books,8,UPI,3.9,563,0.16,3783.36
ORD1111,2025-06-16 09:16:38.319327730,Delhi,Clothing,3,Cash,4.0,1476,0.14,3808.08
ORD1112,2025-06-17 21:34:47.394957982,Noida,Electronics,7,Card,3.8,5450,0.23,29375.5
ORD1113,2025-06-19 09:52:56.470588234,Gurugram,Books,2,Card,4.2,503,0.2,804.8
ORD1114,2025-06-20 22:11:05.546218486,Noida,Books,2,Card,3.4,365,0.05,693.5
ORD1115,2025-06-22 10:29:14.621848738,Delhi,Electronics,7,UPI,4.2,5690,0.09,36245.3
ORD1116,2025-06-23 22:47:23.697478990,Gurugram,Clothing,6,Net Banking,4.0,1436,0.08,7926.72
ORD1117,2025-06-25 11:05:32.773109242,Meerut,Electronics,3,Card,4.2,5715,0.19,13887.45
ORD1118,2025-06-26 23:23:41.848739494,Noida,Books,9,Net Banking,4.2,404,0.03,3526.92
ORD1119,2025-06-28 11:41:50.924369748,Delhi,Beauty,10,Cash,2.7,1146,0.15,9741.0
ORD1120,2025-06-30 00:00:00.000000000,Meerut,Beauty,6,Card,3.5,959,0.2,4603.2
